Nombre
"Lentino, Carlos"
"Leone, Miguel"
Leónidas
"Leopardi, Roberto"
"Le Pera, Luis Nelson"
"Lerda, Danilo"
"Leva, Miguel"
"Levratto, A."
"Lewis, Kevin"
"Lewis, Tomas"
"Leyenda, Carlos"
"Leyes, Gabriel"
"Lezcano, Juan Vicente"
"Libonatti, Daniel"
"Licio, José"
"Lima, Jhonatan"
"Lima, Pablo"
"Lima, Robert"
"Linares, Gastón"
"Linazza, Carlos"
"Lindemblat, Carlos"
"Lista, José"
"Liuzzi, Mario"
"Lizthermann, José"
"Lloyd, Jorge"
Lois
Lombardi
"Lombardi, Maximiliano"
"Longeau, Juan"
"López, Fernando"
"López, Javier"
"López, Jonathan"
"López, Jorge"
"López, Julio"
"López, Maximiliano"
"López, Pablo"
"López, Víctor"
"López, Walter"
"Lorenzo, Mario"
"Lores, Ignacio"
"Losada, Julio"
"Loustanou, Fredy"
"Lozada, Luis"
"Lozano, Alfredo"
"Lozano, Brian"
"Luaysa, Albano"
"Lucas, Gustavo"
"Luccini, Julio"
"Luchini, Américo"
Luckly
"Lujambio, José"
"Lujambio, Josemir"
"Luna, José"
"Luque, Carlos"
Luquez
"Lustemberg, Anselmo"
"Luthar, Carlos"
"Macaluso, Damián"
"Macchiavello, Héctor"
"Macchi, Carlos"
"Mac Cubbin, W."
"Mac Eachen, Emilio"
"Mac Gregor, John"
"Machado, Alexander"
"Machado, Joaquín"
"Machín, Heber"
"Maciel, Héctor"
"Maciel, Julio César"
"Maciel, Luis"
"Madruga, Andrés"
"Magallanes, Federico"
Maggio
"Magliano, Héctor"
"Maidana, Luis"
"Mainardi, Luis"
"Maio, Rubén"
"Majewski, Francisco"
"Majewski, Wenceslao"
Major
"Malán, Gonzalo"
Malceñido
Maldonado
"Maldonado, Juan"
"Maldonado, Luis"
"Malinowsky, Estanislao"
