ID,Nombre,Goles,Foto,DefaultFoto
136,Gildeón Silva,7,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\136.jpg,False
137,Raúl Tognochi,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\137.jpg,True
138,Cirilo Estívez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\138.jpg,True
139,Demis Dagosto,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\139.jpg,False
140,José Dagosto,14,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\140.jpg,True
141,Pablo Biscardi,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\141.jpg,True
142,Héctor Ferrando,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\142.jpg,True
143,Próspero Pérez,14,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\143.jpg,True
144,Juan Santero,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\144.jpg,True
145,Héctor Ardoguein,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\145.jpg,True
146,José Gervasio Artigas,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\146.jpg,True
147,Alfredo Boccardo,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\147.jpg,True
148,Lorenzo Fernández,45,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\148.jpg,False
149,Álvaro Antonio Gestido,11,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\149.jpg,False
150,Arturo Hohl,7,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\150.jpg,True
151,Juan Ramón Jaurreche,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\151.jpg,True
152,Ricardo Miramontes,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\152.jpg,True
153,Juan Necchi,12,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\153.jpg,True
154,Alberto Nogués,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\154.jpg,False
155,Fulgencio Ojeda,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\155.jpg,True
156,Ramón Olhagaray,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\156.jpg,False
157,Mario Portugal,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\157.jpg,True
158,Ángel Ramos,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\158.jpg,True
159,Carlos Juan Riolfo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\159.jpg,False
160,Ángel Suárez,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\160.jpg,True
161,Arturo Suffiotti,31,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\161.jpg,False
162,Miguel Capuccini,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\162.jpg,False
163,Vicente Sarni,15,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\163.jpg,False
164,Juan Peregrino Anselmo,94,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\164.jpg,False
165,Carlos Otonello,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\165.jpg,True
166,Plácido Anselmo Pintado,15,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\166.jpg,True
167,Alfredo Toscano,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\167.jpg,True
168,Guillermo Boffi,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\168.jpg,True
169,Vicente Capuccio,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\169.jpg,True
170,Carlos Giúdice,15,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\170.jpg,False
171,Carlos Gringa,8,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\171.jpg,True
172,Eugenio Morasso,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\172.jpg,True
173,José Leandro Andrade,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\173.jpg,False
174,Arturo Cambra,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\174.jpg,True
175,Adhemar Canavessi,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\175.jpg,False
176,Oscar Carbone,13,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\176.jpg,False
