ID,Nombre,Goles
370,Nelson Omar Cancela,5
371,Rúben Mario Cocchinello,8
372,Luis Alberto Cubilla Almeida,48
373,Alberto Nicolás Evaristo,3
374,José Roberto García,19
375,Alberto Nery Hein,1
376,Francisco Majewski,0
377,Estanislao Malinowsky,1
378,Ángel Omarini,8
379,Walter Pérez,3
380,Santiago Rúben Pino,2
381,Roberto Roche,4
382,Braulio María Roldán,0
383,Carlos Suárez Lisboa,3
384,Júpiter Crescio,27
385,José María Griecco,14
386,Carlos Abel Linazza,16
387,Rúben Agustín Martínez Toledo,5
388,Alfredo Moscarelli,1
389,Víctor Pereyra,6
390,Alberto Pedro Spencer,326
391,Roberto Matosas Postiglione,22
392,Guillermo Pedra,4
393,Ángel Ruben Cabrera Santana,88
394,Núber Dante Cano,3
395,Pedro Ramón Cubilla,0
396,José María Iriarte,17
397,Pedro Virgilio Rocha,214
398,Edgardo Nilson González,1
399,Juan Víctor Joya Cordero,112
400,José Francisco Sasía,75
401,Matias Zelmar Aguirregary Guruceaga,9
402,Maximo David Alonso Fontes,1
403,Agustín Álvarez Martínez,34
404,Agustín Álvarez Wallace,0
405,Ramón Ginés Arias Quintero,5
406,Pablo Daniel Ceppelini Gatto,18
407,Alejo Cruz Techera,0
408,Kevin Emiliano Dawson,0
409,Edgar Joel Elizalde,0
410,Walter Alejandro Gargano,4
411,Ignacio Jesús Laquintana,10
412,Bryan Olivera,0
413,Cristian Gonzalo Olivera,0
414,Juan Manuel Ramos,6
415,Rodrigo Agustín Saravia,4
416,Rodrigo Abascal Barros,2
417,Rúben Daniel Bentancourt Morales,14
418,Ezequiel Busquets Sanguinetti,1
419,Agustín Canobbio Graviz,14
420,Agustín Da Silveira,1
421,Fabricio Orosmán Formiliano,18
422,Gonzalo Freitas,0
423,Nicolás Walter Gaitán,0
424,Nicolás García,0
425,Giovanni Alessandro González,7
426,Gary Christofer Kagelmacher,7
427,Franco Nicolás Martínez,2
428,Damián Marcelo Musto,0
429,Ariel Gerardo Nahuelpán,5
430,Victorio Maximiliano Pereira,1
431,Joaquin Piquerez,0
432,Carlos Emilio Rodríguez,3
433,Diego Valentín Rodríguez,2
434,Nicolás Rossi,3
435,Nicolás Schiappacasse,0
436,Miguel David Terans,25
437,Facundo Daniel Torres,19
438,Jesús Emiliano Trindade,5
439,Alvino Volpi Neto,0
440,Darío Cottiga,5
441,Luis Gutiérrez,0
442,Juan Vicente Lezcano,0
443,José Rótulo,0
444,Guillermo Varela,0
445,Lucas Camilo Hernández,14
446,Fabián Larry Estoyanoff Poggio,67
447,Cristian Rodríguez,54
448,Cristian Brandon Martín Palacios,40
449,Fidel Francisco Martínez,4
450,Maximiliano Rubén Rodríguez,16
451,Ricardo Guzmán Pereira,1
452,Gabriel Matías Fernández,21
453,Mathías Corujo Díaz,6
454,Rodrigo Rojo,2
455,Rodrigo Andrés Piñeiro,5
456,Brian Rodríguez,3
457,Luis Eduardo Maldonado,0
458,Enzo Gabriel Martínez,2
459,Marcel Novick,2
460,Thiago Gastón Cardozo Brugman,0
461,Kevin Lewis,1
462,Marcos Matías De los Santos,4
463,Darwin Gabriel Núñez,5
464,Carlos Matheu,0
465,Lucas Ezequiel Viatri,21
466,Ignacio Lores Varela,5
467,Pedro Antonio Cabral Filartiga,12
468,Omar Caetano Otero,16
469,Carlos Walter Fernández Carranza,9
470,Ricardo Morán,0
471,Moacyr Claudinho Pinto,21
472,Alberto Urbano,0
473,Obdulio Aguirre,7
474,Oscar Milber Barreto Bermúdez,6
475,Carlos César Bogni,0
476,Nil Roque Chagas,0
477,Sergio Delfino,0
478,Luis Alberto Fontora,8
479,Héctor César Martínez Toledo,5
481,Héctor Jesús Silva,81
482,Beltrán Sosa,2
483,Walter Sosa,6
484,Luis Alberto Varela,0
485,Jesús Villalba,1
486,Yeferson Agustín Quintana,3
487,Fabián Píriz,1
488,Diego Martín Rossi,13
489,Rodrigo Hernán Petryk,3
490,Gastón Rodríguez,22
491,Alex Silva,0
492,Gastón Guruceaga,0
493,Nicolás Dibble,7
494,Iván Villalba,1
495,Nahitan Michel Nández,8
496,Ángel Leonardo Rodríguez,0
497,Junior Gabriel Arias Cáceres,13
498,Mauricio Affonso Prieto,8
499,Luis Urruti,2
500,Lucas Daniel Cavallini,6
501,Maximiliano Perg,0
502,Freddy Matías Mier,5
503,Juan Martín Boselli Duque,1
504,Ronaldo Conceição Silveira,0
505,José Luis Ayala,0
506,Mario Sergio Catalá Chelle,6
507,Eduardo García,0
508,Néstor Labastié,2
509,Héctor Casildo Maciel,1
510,Juan Carlos Masnik,0
511,Mario Minetti,0
512,Miguel Ángel Reznik,29
513,Walter Simoncelli,0
514,Enrique Nelson Alfano,18
515,Rúben Dávila,0
516,Milton Días,3
517,Nelson Díaz,3
518,Pablo Justo Forlán,9
519,Ladislao Mazurkiewicz,0
520,Carlos Adrián Valdéz,4
521,Rodrigo Viega,3
522,Gonzalo Viera,4
523,Diogo Silvestre Bittencourt,4
524,Sebastián Gerardo Píriz,10
525,Federico Santiago Valverde,0
526,Luis Bernardo Aguiar Burgos,37
527,Diego Martín Forlán,11
528,Diego Ifrán,5
529,Hernán Novick,13
530,Marcelo Danubio Zalayeta,76
531,Washington Emilio Mac Eachen,2
532,Gabriel Leyes,11
533,Nicolás Gabriel Albarracín Basil,7
534,Carlos Martín Luque,1
535,Jonathan Sandoval,2
536,Gianni Daniel Rodríguez,0
537,Guillermo Daniel Rodríguez,4
538,Tomás Alberto Costa,1
539,Maximiliano Martín Olivera,9
540,Miguel Ángel Murillo,10
541,Fabrizio Buschiazzo Morel,0
542,Carlos Andrés Rodales,0
543,Andrés Nicolás Freitas,4
544,Cristian Franco Lema,4
545,Luis Miguel Acevedo Tabárez,13
546,Maximiliano Rodríguez Maeso,4
547,Juan Manuel Izquierdo,0
548,Julio César Cortés Lagos,27
549,Wilmar Etchechury,13
550,Alberto Ferrero,10
551,Pío Tabaré González,3
552,Jonathan Matías Urretaviscaya,17
553,Pablo Alejandro Migliore,0
554,Joe Emerson Bizera Bastos,12
555,Jorge Marcelo Rodríguez,12
556,Facundo Rodríguez,1
557,Antonio Pacheco,201
558,Juan Manuel Olivera,40
559,Emiliano Albín Antognazza,3
560,Damián Macaluso,5
561,Enrique Alberto Bologna Gómez,0
562,Leandro Gelpi,0
563,Juan Daniel Álvez Ortíz,0
564,Alejandro Damián González,1
565,Jonathan Alejandro Siles,5
566,Octavio Darío Rodríguez,42
567,Sebastián Cristóforo,4
568,Aureliano Torres,2
569,Rodrigo Sebastián Vázquez,0
570,Jorge Zambrana,7
571,Carlos Javier Grossmüller,0
572,Jorge Nicolás Raguso,0
573,Jim Morrison Varela,0
574,Sebastián Agustín Gallegos,2
575,Horacio Joaquín Aguirre Santellán,0
576,Rodrigo Pastorini,6
577,Nicolás Ramírez,0
578,Danilo Emanuel Lerda,0
579,Ignacio Nicolini,0
580,Carlos Rodrigo Núñez,14
581,Miguel Ángel Amado Alaníz,0
582,Héctor Baltasar Silva,2
583,Walter Alberto López,2
584,Mauro Raúl Fernández,3
585,Agustín Camilo Barán Flangini,0
586,Nilo Humberto Acuña Bordaborria,64
587,Francisco Eugenio Bertocchi Fernández,29
588,Antonio De Lucca,0
589,Nelson Hernández,19
590,Mario Omar Méndez,9
591,Nelson Presente,0
592,Carlos Santiago Rodríguez Alves,8
593,Rafael Sánchez,0
594,Walter Taibo,0
595,Carlos Sebastián Sosa,0
596,Gastón Ramírez,10
597,Rúben Ariel Olivera,8
598,Sergio Daniel Órteman,1
599,Edigio Raúl Arévalo Ríos González,7
600,Marcel Román,1
601,Alejandro Hernán Martinuccio,18
602,Jonathan Rafael Ramis,11
603,Diego Martín Alonso López,21
604,Marcelo Sosa,3
605,Silvio Bosco Frontán,1
606,Wilinton Techera,0
607,Hamilton Pereira,0
608,Gonzalo Noguera,0
609,Julio Fabián Mozzo,7
610,Gonzalo de los Santos,9
611,Maximiliano Bajter Ugollini,4
612,Róbson Xavier,0
613,Braian Rodríguez,6
615,Ignacio Ithurralde,2
616,Yefferson Moreira,0
617,Rodrigo Alberto Álvez Fonseca,0
618,Esteban Beracochea,1
619,Luis Duarte,7
620,Elías Ricardo Figueroa,7
621,José Garrido,0
622,Julio Daniel Losada,30
623,Alfredo Lozano,0
624,Julio José Rodríguez,0
625,Héctor Ignacio Santos,0
626,Néstor Orlando Soria,0
627,Juan José Vasconcellos,0
628,Néstor Martín Errea,0
629,Jorge Antonio Acuña Antúnez,4
630,Roberto Julio Gil,2
631,José Ricardo Moss,0
632,Carlos Alfredo Ríos,4
633,Yamandú Solimando,0
634,Nicolás Fernando Biglianti Ruiz,0
635,Gerardo Alcoba Rebollo,11
636,Matías Eduardo Manrique,3
637,Alvaro Maximiliano Arias Invernizzi,2
638,Federico Pérez,1
639,Mario Andrés Álvarez García,0
640,Fernando Edgardo Correa Ayala,9
641,José María Franco,102
642,Carlos Heber Bueno Suárez,165
643,Diego Manuel Rodríguez,3
644,Marco Antonio Garcia Nascimento,1
645,Carlos Richard Díaz,0
646,Omar Mario Pérez,1
647,Sergio Maximiliano Pérez,5
648,Gonzalo Salgueiro,0
649,Paul Fernando Carrera Velastegui,5
650,Carlos Castro,1
651,Manuel Carlos Fonseca,1
652,Ernesto Guerrini,0
653,Ermindo Ángel Onega,53
654,Alfredo Hugo Rojas,6
655,José Luis Lamberck,17
656,Milton Viera Rivero,19
657,Nelson Bonifacio Acosta López,5
658,Rúben Romeo Corbo Burmia,38
659,Walter Luis Corbo Burmia,0
660,Hugo Daniel Fernández,1
661,Mario Walter González,12
662,Julio César Jiménez,39
663,Alfredo Luis Lamas,10
664,Mario Eduardo Liuzzi,7
665,Carlos Luthar,0
666,Fernando Morena,452
667,William Noble,10
668,Walter Daniel Olivera,23
669,Daniel Oscar Quevedo,77
670,Eduardo Rivera,2
671,Miguel Ángel Russo,0
672,Rodolfo Ariel Sandoval,1
