ID,Nombre,Goles,Foto
170,Carlos Giúdice,15,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\170.jpg
171,Carlos Gringa,8,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\171.jpg
172,Eugenio Morasso,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\172.jpg
173,José Leandro Andrade,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\173.jpg
174,Arturo Cambra,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\174.jpg
175,Adhemar Canavessi,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\175.jpg
176,Oscar Carbone,13,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\176.jpg
177,Braulio Castro Sánchez,37,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\177.jpg
178,Venancio Castro,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\178.jpg
179,Galileo Chanes,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\179.jpg
180,Homero Fernández,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\180.jpg
181,Luis Gaitán,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\181.jpg
182,Ramón Irigaray,7,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\182.jpg
183,Guido Laino,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\183.jpg
184,Luis Mainardi,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\184.jpg
185,Ernesto Alberto Mascheroni,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\185.jpg
186,Luis Alberto Mata,58,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\186.jpg
187,Julio Oddo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\187.jpg
188,Américo Pazos,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\188.jpg
189,Julio Pérez Serrés,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\189.jpg
190,Nicolás Riccardi,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\190.jpg
191,Pascual Ruggiero,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\191.jpg
192,Victoriano Santos Iriarte,22,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\192.jpg
193,Pedro José Young Sosa,85,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\193.jpg
194,Erebo Zunino,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\194.jpg
195,Basilio Aizcorbe,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\195.jpg
196,Enrique Pedro Ballestrero Griffo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\196.jpg
197,Rogelio Barros,27,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\197.jpg
198,Adelaido Camaití,76,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\198.jpg
199,Alvaro Cañete,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\199.jpg
200,Héctor Cazenave,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\200.jpg
